Time_min,D16_micron,D50_micron,D84_micron
1,12.7335,20.6013,39.3249
2,13.2074,23.847,45.4082
3,13.8934,25.3438,65.4272
4,14.1042,25.6631,49.8698
5,10.0286,19.1833,36.1036
6,12.0582,22.9082,40.1178
7,13.5102,26.3832,55.0768
8,10.295,20.4149,39.4091
9,10.5129,23.234,45.9173
10,10.9445,28.9765,59.8425
11,10.9557,28.6293,60.8017
12,11.1368,29.3252,64.5393
13,12.5318,33.6796,68.698
14,11.8179,33.7543,64.5761
15,12.0563,33.4493,67.109
16,12.36,32.9194,63.5962
17,12.3576,33.626,64.8601
18,13.7995,33.4,59.4068
19,13.8133,36.0223,63.6984
20,16.1845,37.3392,61.54
21,16.122,38.0393,63.3488
22,17.653,43.3717,68.4177
23,16.7307,39.55,64.6995
24,18.4937,44.4804,72.8512
25,20.1258,45.95,72.957
26,20.6744,46.9049,73.7471
27,21.6871,52.6776,79.835
28,22.9643,51.0092,77.7379
29,24.7065,52.6192,86.7783
30,25.9215,55.6888,88.006
31,27.2512,56.2452,87.9993
32,26.1452,59.5995,93.9535
33,29.4416,59.4036,92.3281
34,28.4197,60.6193,92.3664
35,30.6515,60.9954,91.5588
36,29.9572,61.4734,94.7607
37,33.9813,67.1154,102.169
38,33.787,67.8153,102.252
39,35.0841,68.3407,93.7051
40,35.3872,68.6684,101.426
41,36.8887,68.6521,100.472
42,36.2271,68.5958,106.685
43,39.5164,70.631,107.73
44,39.9796,73.1745,103.394
45,39.1492,72.1125,108.438
46,38.5877,75.6695,106.695
47,38.7606,77.2435,110.345
48,44.0752,74.0349,107.638
49,42.9205,77.1123,116.858
50,44.2684,72.9377,108.794
51,43.1149,76.6049,110.954
52,44.7671,76.9634,116.334
53,43.9156,76.5713,113.151
54,44.5701,77.3575,110.763
55,45.3855,80.1219,114.243
56,44.952,77.3282,110.197
57,44.3709,77.1161,117.369
58,49.1422,84.0924,117.902
59,47.2308,81.0051,113.155
60,47.969,80.5757,115.521
61,49.7833,83.4879,117.174
62,47.4124,81.2849,116.402
63,48.5981,79.1249,116.062
64,51.7162,84.3246,118.647
65,47.6232,79.6712,112.848
66,49.9075,86.1586,120.392
67,53.0652,84.5325,120.025
68,47.8657,81.2824,117.534
69,50.9329,85.4765,119.203
70,51.0733,83.0376,116.87
71,53.3497,86.1769,118.937
72,50.9579,86.7823,124.212
73,52.3214,83.1614,120.026
74,53.4038,88.4164,123.267
75,55.3158,86.7301,123.862
76,50.9615,84.6902,121.266
77,54.1702,87.7425,125.996
78,53.2733,89.153,126.097
79,53.1979,90.1064,120.766
80,52.6002,86.5497,120.132
81,55.1525,84.92,122.542
82,55.6473,84.9815,125.924
83,53.5888,89.5293,127.571
84,53.5978,86.3865,123.676
85,56.6528,89.1142,131.789
86,53.5827,85.8576,125.512
87,54.4531,88.3826,124.336
88,57.5749,90.2473,130.155
89,56.6205,92.6339,129.784
90,55.4174,89.2647,122.441
91,57.934,91.3188,129.133
92,54.6882,88.1972,128.427
93,56.1042,86.6925,124.195
94,60.5798,89.3927,124.344
95,54.51,87.0332,120.419
96,57.6556,89.1306,125.398
97,55.2009,86.0797,122.174
98,56.8241,89.8754,127.145
99,55.6719,88.6903,124.004
100,54.307,84.0122,123.767
101,57.0578,90.8488,127.743
102,56.1954,87.436,127.312
103,58.4219,89.7006,128.029
104,57.2681,87.4021,126.978
105,57.5367,89.6882,126.14
106,51.8867,85.1646,126.531
107,53.474,87.6685,125.273
108,56.0161,88.1305,120.686
109,57.1153,91.2638,130.595
110,56.8954,90.9626,126.185
111,56.2926,87.3409,121.955
112,57.0843,87.6402,121.626
113,56.3493,87.872,121.934
114,55.1406,86.8864,121.93
115,58.1813,90.609,128.999
116,53.3193,90.4296,124.256
117,57.3684,87.7931,131.319
118,58.6409,89.7403,127.383
119,55.4408,87.2496,121.525
120,56.8545,89.1928,126.33
121,57.9229,89.3525,126.2
122,59.1019,88.1143,127.028
123,57.2142,85.0431,121.538
124,57.3977,88.7416,124.675
125,56.953,89.4515,123.339
126,54.9736,87.3306,123.661
127,56.7226,86.2781,123.88
128,58.681,90.942,126.645
129,58.9614,86.3109,120.783
130,56.7169,88.6392,124.248
131,60.657,90.099,121.818
132,57.7521,85.3119,125.391
133,56.6703,88.9729,121.904
134,57.2327,88.0606,125.337
135,54.973,84.8555,122.802
136,56.0864,86.0089,123.594
137,56.0384,89.3748,129.881
138,58.7636,87.8771,128.701
139,58.916,87.1051,125.592
140,55.4389,86.0474,118.825
141,57.4599,86.7764,121.606
142,57.4021,86.4078,125.279
143,57.8215,91.4502,127.267
144,55.8795,85.9538,121.907
145,57.7517,91.3408,123.135
146,59.5972,87.9816,123.735
147,58.2735,88.6912,130.572
148,57.0471,87.8621,126.789
149,55.7403,86.1453,122.07
150,56.2778,88.1946,126.385
151,58.4645,88.5244,124.362
152,58.5799,85.0822,121.934
153,58.1032,89.443,128.779
154,60.084,89.1246,124.652
155,56.0941,88.383,122.368
156,58.8741,89.9413,124.801
157,57.2088,89.1448,127.92
158,58.1129,88.2261,126.334
159,55.808,89.2998,126.873
160,58.193,89.0645,122.741
161,58.9313,87.2333,129.813
162,59.408,90.9045,125.897
163,59.3144,88.3247,126.87
164,57.8847,88.3499,125.49
165,57.6422,88.8831,125.474
166,55.7203,86.9462,125.41
167,58.3917,91.4939,124.714
168,57.9141,86.7316,120.715
169,59.1285,90.1873,128.378
170,60.7974,88.7021,129.057
171,57.9725,89.6062,126.912
172,58.9451,88.8026,127.061
173,58.2842,89.2159,126.93
174,59.34,86.9503,119.742
175,59.4004,87.6847,123.138
176,59.8329,87.3695,125.826
177,57.653,88.4468,123.437
178,54.2948,86.9897,125.863
179,57.0914,86.2373,125.007
180,58.2499,86.7577,124.694
181,59.2482,87.9793,126.062
182,57.5241,87.4789,126.244
183,57.8583,90.7835,125.729
184,56.3092,86.4721,117.494
185,58.1672,87.7551,118.574
186,59.9085,88.9236,126.88
187,59.2909,87.7554,128.461
188,56.0971,88.4563,122.39
189,59.0004,87.7412,123.354
190,61.2952,90.0295,123.099
191,58.9706,88.5601,121.284
192,58.4029,87.1508,119.316
193,58.8115,90.4131,124.324
194,58.8648,91.5853,130.36
195,59.3601,88.2538,127.821
196,59.4575,90.0473,120.129
197,58.7741,90.1145,129.281
198,59.5304,87.89,126.031
199,57.7275,85.6025,121.127
200,58.0244,89.7576,126.119
201,55.2921,84.6075,118.882
202,60.446,88.0648,127.08
203,57.0351,87.0259,128.85
204,56.1078,88.139,121.4
205,58.5892,86.5201,119.769
206,57.8658,91.1581,125.445
207,56.7594,89.4415,129.118
208,60.2827,91.2194,126.693
209,58.7085,89.0825,128.094
210,60.9354,89.2041,119.969
211,58.2236,87.916,123.703
212,57.993,87.0096,125.236
213,58.0418,90.0369,130.374
214,57.3714,84.5965,125.221
215,57.2098,87.563,126.66
216,57.6975,88.251,122.493
